10	1	20	0														
0	0	31	26	16	23	27	16	31	9	13	37	0	0	0	0	52.445426	13.3710411
1	31	0	20	23	42	11	35	51	36	32	19	2	6	3	22	52.468329	13.5893169
2	27	20	0	12	34	22	30	44	31	28	32	-1	7	2	35	52.5068707	13.4918769
3	16	23	11	0	27	20	20	35	21	17	30	-1	7	3	54	52.4827961	13.4397268
4	21	41	35	26	0	37	11	12	27	11	47	1	7	2	61	52.5225664	13.238537
5	29	11	21	21	39	0	32	48	32	30	12	-2	6	5	66	52.4413507	13.5784332
6	14	34	29	19	11	30	0	20	20	3	40	2	6	4	70	52.4907583	13.286989
7	30	50	44	35	12	46	20	0	36	20	56	1	7	4	76	52.525979	13.1578475
8	8	35	30	20	28	30	21	37	0	19	39	-1	6	2	88	52.4124006	13.3592102
9	13	33	27	17	12	28	3	20	18	0	38	-3	7	1	98	52.4868495	13.2964951
10	38	20	31	31	49	12	42	58	41	39	0	-2	6	1	99	52.40975	13.6577345

