10	1	20	0														
0	0	8	14	17	15	11	9	18	13	9	11	0	0	0	0	41.3943533	2.1436487
1	8	0	13	22	20	10	9	23	19	16	14	3	6	5	6	41.3706581	2.1612592
2	15	12	0	27	25	15	9	27	24	22	13	-1	7	2	15	41.3202238	2.130776
3	16	23	27	0	9	26	21	11	21	19	19	-2	6	4	23	41.4409776	2.0881886
4	14	21	25	10	0	25	19	6	20	18	18	-1	6	0	55	41.4587474	2.0631928
5	12	10	16	27	25	0	14	27	14	12	19	2	6	3	79	41.3959723	2.2003526
6	10	9	11	22	20	16	0	23	19	17	7	-2	7	2	80	41.3603874	2.1262492
7	16	23	27	10	4	25	21	0	19	19	19	-1	7	0	83	41.468469	2.079252
8	12	18	24	20	18	14	18	21	0	9	16	-2	7	3	90	41.4474673	2.1732498
9	9	14	20	19	17	12	14	19	9	0	14	2	7	3	92	41.4216986	2.1559212
10	11	12	14	19	17	20	8	20	16	14	0	-2	7	4	98	41.3682367	2.0985929


