10	1	20	0														
0	0	13	8	14	5	21	13	10	20	25	14	0	0	0	0	40.758366	-73.986267
1	12	0	16	9	14	11	17	14	20	19	19	-2	6	2	4	40.741795	-73.904915
2	8	17	0	18	11	21	11	14	18	28	18	-3	6	0	28	40.802635	-73.967979
3	14	9	18	0	14	17	19	8	26	20	12	1	7	2	46	40.709099	-73.95871
4	6	15	10	15	0	23	17	8	23	26	11	1	7	3	61	40.747822	-74.003807
5	16	10	22	13	18	0	23	18	20	15	23	1	6	3	74	40.744846	-73.837311
6	13	16	9	19	16	17	0	14	10	26	18	2	6	5	79	40.816895	-73.910713
7	10	15	15	8	9	23	16	0	22	27	11	-1	7	3	84	40.728703	-73.984146
8	22	21	18	27	25	15	12	24	0	24	28	1	6	5	86	40.855473	-73.822784
9	28	21	31	22	30	18	30	29	26	0	30	-2	7	0	96	40.643826	-73.790359
10	12	19	16	12	8	27	20	10	27	27	0	-2	7	0	98	40.709751	-74.014778

