10	1	20	0														
0	0	31	27	22	17	22	27	13	20	21	17	0	0	0	0	-30.0915683	-51.1759996
1	32	0	55	12	26	14	10	22	30	31	30	-1	7	0	25	-29.9882967	-51.13063
2	27	54	0	45	35	44	49	35	27	30	31	2	6	3	45	-30.1994932	-51.1303118
3	24	10	47	0	20	9	11	16	23	25	24	-1	6	2	55	-30.0196058	-51.1599768
4	17	26	35	20	0	15	20	22	9	10	26	-2	7	0	70	-30.0897878	-51.1263603
5	25	13	45	10	16	0	6	19	20	21	25	1	6	5	71	-30.0430677	-51.1340861
6	29	10	49	11	20	6	0	23	23	25	28	2	6	5	73	-30.023853	-51.1242365
7	13	23	36	16	22	17	22	0	26	27	9	-2	7	3	75	-30.0628768	-51.2168815
8	20	30	27	24	9	19	24	26	0	4	30	1	6	4	81	-30.1169701	-51.1083376
9	21	32	30	25	10	20	25	28	4	0	32	-2	6	1	95	-30.1103956	-51.1026953
10	17	30	32	23	26	23	28	9	30	32	0	-2	7	1	99	-30.0847899	-51.237807

